p-aws-sg-web-1	10.20.70.39
p-aws-sg-service-1	10.20.12.125
p-aws-sg-lb-2	10.20.51.181
asg-als-mysql-1	10.20.30.223
asg-bi-tableau-2.old	10.20.210.103
p-aws-sg-ops-4	10.20.90.77
asg-als-rmq-2	10.20.60.221
asg-als-rmq-3	10.20.60.39
asg-als-rmq-1	10.20.60.196
p-aws-sg-service-4	10.20.13.54
asg-redcl-3	10.20.21.127
p-aws-sg-redcl-7	10.20.20.55
p-aws-sg-redcl-5	10.20.20.48
p-aws-sg-mongodb-13	10.20.40.48
p-aws-sg-ops-2	10.20.90.73
p-aws-mysql-1	10.20.31.227
p-aws-sg-mysql-2	10.20.30.182
p-aws-sg-mysql-1	10.20.30.66
p-aws-sg-mongodb-3	10.20.41.7
p-aws-sg-mongodb-1	10.20.41.115
p-aws-sg-file-1	10.20.30.27
p-aws-web-6(wordpress)	172.31.21.217
asg-bi-tableau-redash	10.20.210.238
asg-bi-spark-1	10.20.210.138
p-aws-sg-mautic-sg	10.20.71.171
p-aws-sg-lb-1	10.20.51.176
asg-bi-tableau-server-1	10.20.210.26
p-aws-sg-mycat-1	10.20.30.67
p-aws-sg-mysql-13	10.20.110.30
p-aws-sg-mongodb-12	10.20.40.156
p-aws-sg-mongodb-15	10.20.40.6
p-aws-sg-mycat-2	10.20.31.147
p-aws-sg-redcl-8	10.20.21.103
p-aws-sg-redcl-6	10.20.21.60
p-aws-sg-service-7	10.20.12.200
p-aws-sg-mail-1	10.20.71.104
p-aws-sg-mysql-6	10.20.30.43
p-aws-sg-mysql-5	10.20.30.213
asg-bi-tableau-1.old	10.20.210.61
p-aws-sg-gtw-1	10.20.51.37
asg-als-nginx-1	10.20.13.249
p-aws-sg-disque-3	10.20.60.158
p-aws-sg-disque-1	10.20.60.132
p-aws-sg-als-lb-2	10.20.51.196
p-aws-sg-service-3	10.20.12.177
p-aws-sg-rpc-2	10.20.81.171
p-aws-sg-service-2	10.20.13.128
p-aws-sg-redcl-4	10.20.21.4
p-aws-sg-redcl-2	10.20.21.34
p-aws-sg-gtw-2	10.20.51.183
asg-als-nginx-2	10.20.12.214
p-aws-sg-statsd-1	10.20.31.166
asg-bi-spark-2	10.20.210.250
asg-bi-spark-4	10.20.210.241
asg-bi-spark-3	10.20.210.62
p-aws-sg-service-13	10.20.12.194
p-aws-sg-web-2	10.20.70.102
p-aws-sg-service-8	10.20.13.200
p-aws-sg-mongodb-6	10.20.40.253
p-aws-sg-mongodb-4	10.20.40.161
p-aws-sg-mongodb-8	10.20.40.45
p-aws-sg-mongodb-7	10.20.41.21
p-aws-sg-service-6	10.20.13.242
p-aws-sg-mysql-14	10.20.110.31
asg-redcl-1	10.20.20.125
asg-redcl-2	10.20.20.62
p-aws-sg-mongodb-5	10.20.41.229
p-aws-sg-redcl-3	10.20.20.13
p-aws-sg-redcl-1	10.20.20.135
p-aws-sg-service-5	10.20.12.142
p-aws-sg-disque-2	10.20.61.88
p-aws-sg-als-lb-1	10.20.51.167
p-aws-sg-gtw-3	10.20.51.28
p-aws-sg-sentry-1	10.20.90.133
asg-als-mysql-2	10.20.31.248
p-aws-sg-service-12	10.20.12.226
p-aws-sg-service-11	10.20.12.85
p-aws-sg-mysql-7	10.20.30.185
p-aws-sg-mautic-th	10.20.71.136
p-aws-sg-cmd-1	10.20.30.143
p-aws-sg-als-service-a-2	10.20.12.163
p-aws-sg-als-service-a-1	10.20.12.42
p-aws-sg-als-service-b-2	10.20.13.207
p-aws-sg-als-service-b-1	10.20.13.137
p-aws-web-5(wordpress)	172.31.17.18
p-aws-sg-mongodb-2	10.20.40.149
p-aws-sg-mysql-3	10.20.30.153
p-aws-sg-rpc-1	10.20.80.141
asg-ops-1	10.20.90.217
p-aws-ops-1	172.31.30.202
p-aws-sg-mautic-my	10.20.71.22
asg-es2-3	10.20.60.47
asg-es2-2	10.20.60.71
asg-es2-1	10.20.60.162
